wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
E8C8KvJzRn7rBgjLdMmH4ssDhjq7tWFRvARkVuz22uYf,solana,21188.99,69638.44,-48449.45,0.125,225,1991.81,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
75fKcDkNUNzpBigDd3znWYiwFVhAgFGMxUMh3pCs9EPu,solana,63503.79,69183.48,-5679.69,0.16,1008,524.49,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
3naptRWgEeN7kkWCLg2J5nPCVESHUUmkRQSg7soHcRf7,solana,68980.34,68980.34,0,0,86,825.3,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,solana,269453.04,68191.5,201261.54,0.918,1013,233.79,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
2LVJPXfs3U9bTnXX1y1vQdYAU9ZC7URTchNzDAdu4Y1q,solana,34427.87,68123.81,-33695.93,0.0714,96,1470.33,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
29xkBR55eTqruN5gKN69Kifb2irFd4F2S2z4i5rrNCjr,solana,67528.86,67793.88,-265.02,0.251,824,203.55,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
FNQqK9xKhQNV3Dwii8AhxSpkP9BP2h284PS6gew1vXTy,solana,66702.93,67548.9,-845.97,0,437,449.78,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
HPGSoaK4WHuMNym7TpLqozRHkA6fRg3qGMDtqVsndL7h,solana,-173087.77,67523.3,-240611.07,0,188,1985.88,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
4uZjgiqE3xDcKGSm13wMfvMhgPYA9amjSUXEb4kXFyZP,solana,-34843.27,67493.86,-102337.13,0.5,470,3754.46,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
34qWhtTEmLYBwZnFWjU1qDHwgaGScDHwSfFbGF1oBX2Z,solana,68801.79,67457.81,1343.98,0.6685,1156,121.76,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
